Lbc_km,Y0,ed,N,mu,nu,omega,p_mu,p_nu,p_omega,key_rate
20,1.0016640556989843e-08,0.007729533832793166,1065199974584,0.8,0.2,0.02,0.85,0.0075,0.1425,0.014138085226555698
20,5.7993349846528146e-08,0.005984312649090962,27512730146262,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014583762193342547
20,6.742812200193153e-06,0.009542073172235505,428837415085,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013696713590083695
20,2.6922327405388853e-06,0.005933881383068346,3663864891335,0.8,0.2,0.02,0.85,0.0075,0.1425,0.01459694748434569
20,2.4096970101290778e-08,0.009306325099928379,20881550677301,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01375320278003734
20,1.46751023093274e-08,0.005539007501452834,469314723419,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.014701425105628569
20,2.988772628747634e-07,0.017949877746623013,7391881318420,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01184700030248324
20,1.0486520877039021e-06,0.007270606585996802,88475636746230,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.014253071523986128
20,1.7116721672877505e-07,0.0141765629648729,352153510538,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012643949707275698
20,1.3838810022769891e-08,0.012063338135720978,40315403940,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013112410189498257
20,1.2514006814076105e-08,0.014261006355215083,3310283313750,0.8,0.2,0.02,0.85,0.0075,0.1425,0.012625594803943156
20,2.0695621545420185e-08,0.013237156493476659,243596983782,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012850020696936243
20,1.413325580332266e-07,0.016646298480495175,914700065316,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012117155354043946
20,4.4038229077498565e-06,0.01415179614359335,739185876248,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.012649169913582253
20,7.88747362778036e-07,0.010067980697431287,31426438796,0.8,0.2,0.02,0.8,0.010000000000000002,0.19,0.013572382932764845
20,1.115806420518641e-06,0.014330561641199856,14264809147484,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01261044554972059
20,2.4061759122368448e-08,0.018676749771942832,15753057045351,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.01169855187075669
20,5.631994529241668e-06,0.018088020826602002,5296948926084,0.8,0.2,0.02,0.9,0.005000000000000001,0.095,0.011818407409195326
